make,model,injury_severity,aircraft_damage,aircraft_category,number_of_engines,publication_date,engine_type,purpose_of_flight,weather_condition,total_fatal_injuries,total_serious_injuries,total_minor_injuries,registration_number,investigation_type
CESSNA,R182,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N2696C,Accident
PIPER,PA-18,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3671Z,Accident
ROCKWELL INTERNATIONAL,S-2R,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Other Work Use,VMC,0.0,0.0,0.0,N4894X,Accident
CESSNA,172N,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N7582D,Accident
PIPER,PA-30,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1WE,Accident
PIPER,PA-28-140,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N4592R,Accident
AEROPRO CZ,EUROFOX LSA,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N701CF,Accident
VARGA AIRCRAFT CORP.,2150A,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N8293J,Accident
MAULE,MX-7-235,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5664N,Accident
CESSNA,T182T,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N6062E,Accident
CESSNA,210,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Other Work Use,IMC,2.0,0.0,0.0,N9619T,Accident
SOCATA,TBM 700,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Personal,VMC,0.0,3.0,0.0,N850LM,Accident
CESSNA,172N,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N5427J,Accident
CESSNA,172I,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N46279,Accident
CESSNA,152,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N67973,Accident
PIPER,PA-18-135,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N1155C,Accident
ROCKWELL INTERNATIONAL,114,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N4851W,Accident
ZENAIR LTD,CH 2000,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N200ZA,Accident
BEECH,G18,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Flight Test,VMC,0.0,0.0,0.0,VH-NWB,Accident
PIPER,PA-28-180,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N4824L,Accident
PIPER,PA-32-260,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,IMC,0.0,0.0,1.0,N3688W,Accident
CESSNA,172S,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N6194V,Accident
ROCKWELL INTERNATIONAL,S-2R,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Other Work Use,VMC,0.0,0.0,0.0,N8433V,Accident
CESSNA,172S,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,3.0,0.0,0.0,N665SP,Accident
BEECH,58,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,2.0,0.0,N9460Q,Accident
CESSNA,402B,Non-Fatal,Minor,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N402GZ,Incident
MOONEY,M20J,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N367MR,Accident
MOONEY AIRPLANE CO INC,M20TN,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,1.0,N118RZ,Accident
CESSNA,150J,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,2.0,N60276,Accident
BEECH,95-B55,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N4624A,Accident
CESSNA,172N,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N4737D,Accident
CESSNA,180,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N56180,Accident
BEECH,C23,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5205M,Accident
CESSNA,172S,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N506SP,Accident
PIPER,PA-32R-300,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N47863,Accident
CESSNA,182A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N20DE,Accident
CESSNA,414A,Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,IMC,2.0,0.0,4.0,N4772A,Accident
CRAIN JAC A,BD-4,Fatal,Destroyed,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N215BD,Accident
AERONCA,7BCM,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6451C,Accident
AVIAT AIRCRAFT INC,A-1C-200,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N45TT,Accident
CESSNA,172M,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5286H,Accident
BEECH,35-A33,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N433JC,Accident
CESSNA,182A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6147B,Accident
PIPER,PA-24-250,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N7147P,Accident
HAYCRAFT,SPORT HORNET,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N72PD,Accident
CESSNA,180H,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3SM,Accident
BEECH,58,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N99EZ,Accident
CESSNA,172S,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N53589,Accident
PIPER,PA-28-161,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,IMC,0.0,0.0,0.0,N20GG,Accident
PIPER,PA-36-300,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Flight Test,VMC,0.0,0.0,0.0,N59661,Accident
PIPER,PA-22-135,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1213C,Accident
MOONEY,M20E,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Positioning,VMC,2.0,0.0,0.0,N9224M,Accident
STROUT FRANK,AVENTURA II,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N1193S,Accident
CESSNA,R172E,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Business,VMC,0.0,1.0,0.0,N3196F,Accident
CIRRUS DESIGN CORP,SR22,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,3.0,0.0,0.0,N544SR,Accident
LESTER ROBERT E,KR-2,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1701L,Accident
CESSNA,182P,Fatal,Substantial,Airplane,1.0,03-11-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N1338S,Accident
SIAI-MARCHETTI,SF.260TP,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Personal,VMC,0.0,0.0,0.0,N350TP,Accident
CESSNA AIRCRAFT CO,LC42-550FG,Fatal,Destroyed,Airplane,1.0,25-09-2020,Reciprocating,Personal,IMC,2.0,0.0,0.0,N167ZP,Accident
AMERICAN CHAMPION AIRCRAFT,7GCAA,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,1.0,1.0,N518F,Accident
PIPER,PA-30,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N373JT,Accident
MOONEY,M20M,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,2.0,N486KC,Accident
SKEETER,1M,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N1111V,Accident
BOWERS FLY BABY,1-A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N41017,Accident
CESSNA,172S,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N53460,Accident
AMERICAN CHAMPION AIRCRAFT,8KCAB,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N7DF,Accident
CESSNA,170B,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N8245A,Accident
BELLANCA,7GCBC,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,1.0,N5542K,Accident
PIPER,PA-22-150,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6849B,Accident
ISRAEL AIRCRAFT INDUSTRIES,F21-C2,Fatal,Destroyed,Airplane,1.0,25-09-2020,Turbo Jet,Public Aircraft - Federal,IMC,1.0,0.0,0.0,N404AX,Accident
CESSNA,140A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5693C,Accident
PIPER,PA-31-350,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Executive/corporate,VMC,0.0,0.0,0.0,N4083Y,Accident
AIR TRACTOR INC,AT-502B,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Aerial Application,VMC,0.0,0.0,0.0,N9148C,Accident
CESSNA,310K,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6974L,Accident
PIPER,PA-18-150,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N2986P,Accident
QUICKSILVER,MX SPRINT II,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N702U,Accident
CESSNA,172N,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5290D,Accident
CIRRUS DESIGN CORP,SR22,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N444VR,Accident
CESSNA,U206G,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Business,VMC,0.0,0.0,0.0,N756CL,Accident
CESSNA,172N,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N738QF,Accident
BEECH,76,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6697L,Accident
CESSNA,180H,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3424Y,Accident
STINSON,108-3,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,2.0,0.0,N4143C,Accident
DIAMOND AIRCRAFT IND INC,DA 42,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N915ER,Accident
BRICE RON,GLASTAR SPORTSMAN 2+,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N627RM,Accident
Cook,Smith AVN Replica SU,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Ferry,VMC,0.0,1.0,0.0,N712AZ,Accident
CESSNA,T210J,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N2275R,Accident
CESSNA,182,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Skydiving,VMC,0.0,0.0,0.0,N5649B,Accident
CESSNA,150L,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,IMC,2.0,0.0,0.0,N18677,Accident
EMERAUDE,CP-301-A,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N718PP,Accident
CESSNA,501,Fatal,Substantial,Airplane,2.0,25-09-2020,Turbo Fan,Personal,VMC,5.0,0.0,0.0,N7700T,Accident
PIPER,PA-28-151,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,1.0,0.0,N832KF,Accident
BEECH,B36,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Positioning,Unk,1.0,0.0,0.0,N364AB,Accident
PIPER,PA-28R-180,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3779T,Accident
CESSNA,177B,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N30770,Accident
AIR TRACTOR INC,AT-301A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Aerial Application,VMC,0.0,0.0,0.0,N7306C,Accident
FLIGHT DESIGN GMBH,CTSW,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N379CT,Accident
CESSNA,172K,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N79509,Accident
CESSNA,A185F,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N185GS,Accident
SADLER TERRY A,MERLIN,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N6113Y,Accident
BELLANCA,17-30A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N801RC,Accident
PIPER,J3C-65,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3225N,Accident
PIPER,PA-28-161,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,1.0,N158EA,Accident
BOEHLKE KEVIN P,2/3 SCALE JENNY,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N987KB,Accident
Piper,PA-28R-200,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N56273,Accident
PIPER,PA-28R-200,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N15764,Accident
MOONEY,M20M,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N9140M,Accident
CESSNA,172K,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N46492,Accident
GRIMM,RV-9A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N629BJ,Accident
Piper,PA-28-140,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N8421R,Accident
AERONCA,7AC,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N82406,Accident
BEECH,35,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,IMC,3.0,0.0,0.0,N3871N,Accident
Piper,PA-22-150,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N2389P,Accident
BEECH,35-C33,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N866P,Accident
BEECH,V35B,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N17MJ,Accident
PIPER,PA-28-140,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N55634,Accident
REICH,GLASTAR,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N617G,Accident
GERNER,EVANS WE-1,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N5936,Accident
DIAMOND AIRCRAFT IND INC,DA 20-C1,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,1.0,1.0,N166SE,Accident
MOONEY,M20J,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N58135,Accident
PIPER,PA46,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Personal,VMC,0.0,0.0,1.0,N21EP,Accident
ROCKWELL INTERNATIONAL,690C,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Turbo Prop,Other Work Use,IMC,0.0,0.0,0.0,N840JC,Accident
CESSNA,172S,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,2.0,1.0,0.0,N10468,Accident
CIRRUS DESIGN CORPORATION,SR22T,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N229TX,Accident
NEW KOLB AIRCRAFT CO,MARK III CLASSIC,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N528DJ,Accident
MOONEY,M20J,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Positioning,VMC,0.0,0.0,2.0,N201QB,Accident
PIPER,PA-28-180,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N7309W,Accident
CESSNA,172P,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N97LP,Accident
JOY AVIATION LTD,VANS RV-6,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,IMC,0.0,0.0,0.0,N589M,Accident
SMITH,AEROSTAR 601P,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,IMC,0.0,0.0,0.0,N602BV,Accident
ENBODY FRANK,GY 201 MINICAB,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,1.0,N416FC,Accident
HALL JEFFREY,HALL RV-4,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N605RV,Accident
JACOBS,RV-6A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N238RV,Accident
CESSNA,172R,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N368ES,Accident
CESSNA,172P,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Other Work Use,VMC,0.0,0.0,0.0,N99087,Accident
CESSNA,T337B,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2334S,Accident
FANTASY AIR SRO,ALLEGRO 2007,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Ferry,VMC,0.0,0.0,0.0,N2570C,Accident
PIPER,PA-32R-300,Fatal,Substantial,Airplane,1.0,03-11-2020,Reciprocating,Personal,VMC,4.0,0.0,0.0,N8415C,Accident
FURRU DONALD JEFFREY,SKYRANGER V MAX,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N912FL,Accident
STINSON,108-1,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N97032,Accident
ANDERSON JOHN H,AVID FLYER MK 4,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N61410,Accident
PIPER,PA-22-150,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N6143D,Accident
CESSNA,441,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Turbo Prop,Executive/corporate,VMC,0.0,0.0,0.0,N1212C,Accident
BEECH,E-55,Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,1.0,N1567W,Accident
Cessna,172S,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N480SP,Accident
Piper,PA-28-161,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,1.0,0.0,N800KA,Accident
ARADO-FLUGZEUGWERKE GMBH,FW190 A-5,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N190DK,Accident
OLIVER JOSEPH,ZODIAC CH 601XL,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N8060J,Accident
CESSNA,180,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N266V,Accident
PIPER,PA-18,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N7276D,Accident
CESSNA,210-5,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Skydiving,VMC,0.0,0.0,0.0,N224AL,Accident
TAYLORCRAFT AVIATION CORP,F19,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3673T,Accident
BEECH,58,Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N9448Q,Accident
LAKE,LA-4-200,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N32LB,Accident
CESSNA,U206B,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Skydiving,VMC,0.0,0.0,0.0,N3830G,Accident
SAPP LARRY E,SEAWIND 3000,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,2.0,N514KT,Accident
AIR TRACTOR INC,AT-402A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Aerial Application,VMC,0.0,0.0,0.0,N4544S,Accident
PIPER,PA-60-602P,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6902L,Accident
HAWKER BEECHCRAFT,C90GTX,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Turbo Prop,Ferry,VMC,0.0,0.0,0.0,N8116L,Accident
NELSON,RANS S-12,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N586BN,Accident
LUSCOMBE,8A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N71479,Accident
PIPER,PA-28R-200,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N961JD,Accident
CESSNA,172,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N6749A,Accident
JONES,SA105,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N320WJ,Accident
GRUMMAN,F8F-1,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N14HP,Accident
PIPER,PA-34-200T,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Positioning,VMC,0.0,0.0,0.0,N1162X,Accident
CESSNA,LC41-550FG,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1178L,Accident
REMOS ACFT GMBH FLUGZEUGBAU,REMOS GX,Non-Fatal,Destroyed,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,1.0,N75GX,Accident
CESSNA,172M,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6871H,Accident
WIELT,GREAT LAKES 2T-1A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N211RW,Accident
CESSNA,T182,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N5201F,Accident
WEJEBE JOSE,CA8 -SF,Fatal,Substantial,Airplane,1.0,25-09-2020,Turbo Prop,Personal,VMC,1.0,0.0,0.0,N548SF,Accident
FAIRCHILD,24 C8C,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N14722,Accident
LUSCOMBE,8E,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N1183K,Accident
CESSNA,150H,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N6616S,Accident
CESSNA,210H,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5981F,Accident
EXTRA FLUGZEUGBAU GMBH,EA-300,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,2.0,0.0,0.0,N45R,Accident
