make,model,injury_severity,aircraft_damage,aircraft_category,number_of_engines,publication_date,engine_type,purpose_of_flight,weather_condition,total_fatal_injuries,total_serious_injuries,total_minor_injuries,registration_number,investigation_type
Bellanca,7GCBC,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N62970,Accident
Piper,PA-28-140,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,IMC,1.0,0.0,0.0,N6549W,Accident
Bellanca,7GCAA,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Glider Tow,VMC,1.0,0.0,0.0,N8642V,Accident
Cessna,170A,Non-Fatal,Substantial,Airplane,1.0,14-01-2009,Reciprocating,Personal,VMC,0.0,0.0,0.0,N9910A,Accident
Cessna,150L,Fatal(2),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,2.0,0.0,0.0,N11467,Accident
Ryan,ST-3KR,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,0.0,0.0,N780SR,Accident
Taylorcraft,DCO-65,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,0.0,1.0,N52730,Accident
Piper,PA-44-180,Fatal(2),Substantial,Airplane,2.0,28-12-2008,Reciprocating,Instructional,VMC,2.0,0.0,0.0,N327ND,Accident
Piper,PA-28R-200,Fatal(2),Destroyed,Airplane,1.0,14-01-2009,Reciprocating,Business,VMC,2.0,0.0,0.0,N3971X,Accident
Grumman American,AA-5A,Fatal(1),Destroyed,Airplane,1.0,10-11-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N27175,Accident
"Wrb Associates, Llc.",Zodiac 601 XL,Fatal(1),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Flight Test,VMC,1.0,0.0,0.0,N634WB,Accident
Kelly,F1D,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Flight Test,VMC,1.0,0.0,0.0,N42KK,Accident
Cessna,172I,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N8353L,Accident
Blondin,601HDS,Fatal(2),Destroyed,Airplane,1.0,14-01-2009,Reciprocating,Personal,VMC,2.0,0.0,0.0,N27S,Accident
Vans Aircraft,RV-7A,Non-Fatal,Substantial,Airplane,1.0,10-11-2008,Reciprocating,Personal,VMC,0.0,0.0,1.0,N723EP,Accident
Cessna,340,Fatal(3),Destroyed,Airplane,2.0,10-11-2008,Reciprocating,Business,IMC,3.0,0.0,0.0,N5049Q,Accident
Beech,A36,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3627B,Accident
Cessna,T182T,Fatal(2),Destroyed,Airplane,1.0,30-01-2009,Reciprocating,Personal,VMC,2.0,0.0,0.0,N881CP,Accident
Piper,PA-60-602P,Fatal(3),Destroyed,Airplane,2.0,29-01-2009,Reciprocating,Personal,VMC,3.0,0.0,0.0,N6895Z,Accident
Gulfstream Aerospace,G-IV,Non-Fatal,Substantial,Airplane,2.0,24-12-2008,Turbo Fan,Business,VMC,0.0,0.0,0.0,N209LS,Accident
Piper,PA-31-350,Non-Fatal,Substantial,Airplane,2.0,10-11-2008,Reciprocating,Positioning,VMC,0.0,0.0,0.0,N84859,Accident
Cessna,310R,Fatal(1),Substantial,Airplane,2.0,10-11-2008,Reciprocating,Positioning,IMC,1.0,0.0,0.0,N3364G,Accident
Cessna,T210M,Fatal(2),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,2.0,1.0,0.0,N3NG,Accident
Cessna,172N,Fatal(2),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,2.0,0.0,0.0,N6555D,Accident
Swearingen T R/masters W,Rand KR 2,Fatal(1),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N7016M,Accident
Cessna,T210N,Fatal(2),Substantial,Airplane,1.0,29-01-2009,Reciprocating,Personal,IMC,2.0,0.0,0.0,N5431C,Accident
Beech,H35,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,IMC,1.0,0.0,0.0,N5481D,Accident
Beech,A36TC,Fatal(3),Destroyed,Airplane,1.0,10-11-2008,Reciprocating,Personal,VMC,3.0,0.0,0.0,N364KW,Accident
"Wootton, John",Aero Canard,Fatal(1),Substantial,Airplane,1.0,14-01-2009,Reciprocating,Personal,VMC,1.0,0.0,0.0,N199JW,Accident
Piper,PA32-260,Non-Fatal,Substantial,Airplane,1.0,14-01-2009,Reciprocating,Personal,VMC,0.0,0.0,2.0,N801VC,Accident
Cessna,182R,Non-Fatal,Substantial,Airplane,1.0,25-02-2009,Reciprocating,Personal,VMC,0.0,0.0,0.0,N9412X,Accident
Mooney,M20E,Non-Fatal,Substantial,Airplane,1.0,14-01-2009,Reciprocating,Personal,VMC,0.0,0.0,2.0,N5875Q,Accident
Piper,PA-46-310P,Incident,Minor,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,0.0,0.0,N47BC,Incident
Hein,Sonex,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,1.0,0.0,N365SX,Accident
Barnard/Stancil,Glastar,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N15EX,Accident
Micco Aircraft Company,MAC-145B,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N579RM,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N24965,Accident
Beech,A36,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Business,VMC,0.0,0.0,0.0,N724BB,Accident
Costruzioni Aeronautiche,P2002 Sierra,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N26WR,Accident
American Champion (ACAC),7AC,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N85393,Accident
Cessna,R172K,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N758FQ,Accident
DEAN PATRICK G,GENESIS,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N969PZ,Accident
Piper,PA-32R-300,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N9896,Accident
Piper,PA-28-161,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N109ND,Accident
Cessna,170A,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5407C,Accident
Bellanca,7GCBC,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N30WH,Accident
Corsario,MK-5,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N9639H,Accident
Cessna,150G,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2490J,Accident
Cessna,C-152,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N48251,Accident
Cessna,172M,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N12606,Accident
Cessna,340,Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,4.0,0.0,0.0,N2637Y,Accident
Ziermann,RV8,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N617MZ,Accident
CESSNA,172L,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,3.0,0.0,0.0,N7100Q,Accident
Piper,PA-24-250,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N7988P,Accident
Piper,PA-32-300,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N84JC,Accident
Piper,PA-12,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N7243V,Accident
DeSousa,Jabiru J400,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N522RJ,Accident
Piper,PA-32-260,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3528W,Accident
Cessna,207,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Positioning,IMC,0.0,0.0,1.0,N1701U,Accident
Beech,58P,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Business,VMC,0.0,0.0,0.0,N42SM,Accident
Hawker Beechcraft Corp.,58,Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Positioning,VMC,1.0,0.0,0.0,N3217L,Accident
Grumman American,AA-5B,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N414DJ,Accident
Piper,PA-32-301XTC,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N819C,Accident
Beechcraft,V35B,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N4662M,Accident
PIPER,PA46-500TP,Fatal,Destroyed,Airplane,1.0,25-09-2020,Turbo Prop,Personal,IMC,1.0,0.0,0.0,N169CA,Accident
Air Creation,Clipper,Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,2.0,0.0,0.0,N614LF,Accident
Waltermire,Glastar,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N248DW,Accident
Quicksilver,Sport 2S,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2669A,Accident
CESSNA,172N,Fatal,Destroyed,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,4.0,0.0,0.0,N737EJ,Accident
Cessna,U206F,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N8JZ,Accident
Luscombe,8E,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N71730,Accident
Cessna,172N,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N738UE,Accident
Beech,58,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Flight Test,VMC,0.0,0.0,0.0,N4626A,Accident
MacAdams,Titan Tornado 912,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N142TT,Accident
PIPER,PA-28-R200,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,2.0,0.0,N1939T,Accident
Cessna,172N,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,1.0,0.0,N734KU,Accident
Phillips,Flite Bike,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N31559,Accident
Cessna,172S,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N65329,Accident
Unknown,Free Bird Sportlite,Fatal,Destroyed,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,1.0,0.0,0.0,N75474,Accident
Avid Aircraft,MK-IV,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N610K,Accident
Piper,PA-18-150,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Other Work Use,VMC,0.0,0.0,1.0,N743L,Accident
